nr_crt,label,nr_clase,nr_errors,nr_inheritance,nr_virtual,nr_static,nr_global,nr_public,nr_private,nr_protected,nr_define,nr_template,nr_stl,nr_namespace,nr_enum,nr_struct,nr_cpp,nr_comments,nr_function,headers_size,sources_size,
220,857f54ca7afaf0f4ec713dccfb013596,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
221,529a55cd31e4d8ec6102354165694d1b,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
222,1fa64ffee2bc5eb0fd598aa2f74fea10,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
223,51c6925d48ed1e4fcd09783ebea5975d,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
224,9b72e8e72c57f2fbf7eba81a5aae3ff8,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
225,26b0c65afce8a7ed81076ebbf9b0ebf2,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
226,ffce1b384069c6818d02b6fd19c90898,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
227,a2658bb021c551629aa79c2ca4c47d90,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
228,a4a528c6baee54f7a710761df9d27833,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
229,03c6495ad49819c346c3ab21742993c6,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
230,ef1b033c9b9bbbd73f95268dfbd881eb,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
231,650b68b9442aed4e96596b164a3df70d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
232,bfdb26784f0dc12f4239e618efd8330d,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
233,e918a81a252481c3b8ccf9b3710402e8,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
234,75dae319ab3b061050ddc40d621950ea,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
235,9b53e316ac4f3ccc1dead97c6787cc4a,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
236,a539a37bc2cbaf73d903090240934f5f,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
237,07fdc34b23915be726edc81eaca29220,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
238,f38eb66b2f7d68436d688731def2facb,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
239,224cebc10819ec36f647ec9e61851602,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
240,25674a366cbb7b500c655a0d9c952082,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
241,8d54ed84129f43c9d8c02c18fda021c8,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
242,9db9924823f9cd694ce146c81e271b29,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
243,9fdd8b21d8534415f0aaf6f24e2c5ce9,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
244,33359de1b5840ff9a13311d73d2e4e02,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
245,a0631754b3ee5d5e0810b248f5903dfc,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
246,6d2db1edc23073729f0b2484fd582929,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
247,fd6656a437536c3eaaaed1affb699c9d,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
248,ae8fbdc0e414657c3aa19eb9a57c1352,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
249,0e0537af259f2fd3b0154f4776276f78,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
250,dacf227125c7067a30267822710858c5,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
251,f7687da9c3554ff35c83d36f233332fb,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
